id,lat,long,name
260,51.51368460000001,-0.13558087900000002,Broadwick Street  Soho
261,51.5134891,-0.191351186,Princes Square  Bayswater
262,51.49874469,-0.103132904,LSBU (Borough Road)  Elephant & Castle
263,51.51422502,-0.080660083,St. Mary Axe  Aldgate
264,51.52644342,-0.10925682800000001,Tysoe Street  Clerkenwell
265,51.51595344,-0.169249375,Southwick Street  Paddington
266,51.50102668,-0.18024610100000002,Queen's Gate (North)  Kensington
267,51.49206037,-0.13222462199999999,Regency Street  Westminster
268,51.49320445,-0.144132875,Belgrave Road  Victoria
269,51.50082346,-0.089740764,Empire Square  The Borough
270,51.4863434,-0.122492418,Kennington Lane Rail Bridge  Vauxhall
271,51.53583617,-0.156285395,London Zoo  Regents Park
272,51.50144456,-0.11069930900000001,Baylis Road  Waterloo
273,51.50613324,-0.114686385,Belvedere Road  South Bank
274,51.49671237,-0.20528437,Warwick Road  Olympia
275,51.52004497,-0.092176447,Barbican Centre  Barbican
276,51.50930161,-0.084985356,Lower Thames Street  Monument
277,51.50315739,-0.191496313,Kensington Church Street  Kensington
278,51.503493799999994,-0.07962099,Tooley Street  Bermondsey
279,51.51862243,-0.176645823,North Wharf Road  Paddington
280,51.490083,-0.162418,Royal Avenue 2  Chelsea
281,51.49580589,-0.127575233,Smith Square  Westminster
282,51.51906446,-0.059642081,Royal London Hospital  Whitechapel
283,51.51440928,-0.118478757,Kingsway  Covent Garden
284,51.49914063,-0.112031483,Lambeth North Station  Waterloo
286,51.52729470000001,-0.174653609,St. John's Wood Road  St. John's Wood
287,51.52367314,-0.128377673,Bedford Way  Bloomsbury
288,51.49236962,-0.147478734,Elizabeth Bridge  Victoria
289,51.50923022,-0.151296092,South Audley Street  Mayfair
290,51.51678023,-0.175488803,Winsland Street  Paddington
291,51.48483991,-0.13808906199999998,Claverton Street  Pimlico
292,51.49888404,-0.165471605,Montpelier Street  Knightsbridge
293,51.49815779,-0.209494128,Kensington Olympia Station  Olympia
294,51.488226,-0.135635511,St. George's Square  Pimlico
295,51.50029631,-0.092762704,Swan Street  The Borough
296,51.49363156,-0.19060332600000002,Knaresborough Place  Earl's Court
297,51.49612799,-0.106000855,Geraldine Street  Elephant & Castle
298,51.50227992,-0.074189225,Curlew Street  Shad Thames
299,51.49398524,-0.136928582,Vincent Square  Westminster
